id,question,multiSelect,optionA,optionB,optionC,optionD,optionE,optionF,correctAnswers,times,domain
3967,Which Amazon EC2 instance pricing model can provide discounts of up to 90%?,False,Reserved Instances,On-Demand,Dedicated Hosts,Spot Instances,,,D,8,Cloud Technology and Services
3973,Which encryption types can be used to protect objects at rest in Amazon S3? (Choose two.),True,Server-side encryption with Amazon S3 managed encryption keys (SSE-S3),Server-side encryption with AWS KMS managed keys (SSE-KMS),TLS,SSL,Transparent Data Encryption (TDE),,"A,B",6,Security and Compliance
3974,A company wants to integrate its online shopping website with social media login credentials. Which AWS service can the company use to make this integration?,False,AWS Directory Service,AWS Identity and Access Management (IAM),Amazon Cognito,AWS IAM Identity Center (AWS Single Sign-On),,,C,6,Security and Compliance
3976,"A customer runs an On-Demand Amazon Linux EC2 instance for 3 hours, 5 minutes, and 6 seconds. For how much time will the customer be billed?",False,"3 hours, 5 minutes","3 hours, 5 minutes, and 6 seconds","3 hours, 6 minutes",4 hours,,,B,7,Cloud Technology and Services
3977,A company website is experiencing DDoS attacks. Which AWS service can help protect the company website against these attacks?,False,AWS Resource Access Manager,AWS Amplify,AWS Shield,Amazon GuardDuty,,,C,6,Security and Compliance
3982,A company hosts a large amount of data in AWS. The company wants to identify if any of the data should be considered sensitive. Which AWS service will meet the requirement?,False,Amazon Inspector,Amazon Macie,AWS Identity and Access Management (IAM),Amazon CloudWatch,,,B,5,Security and Compliance
3983,A user has a stateful workload that will run on Amazon EC2 for the next 3 years. What is the MOST cost-effective pricing model for this workload?,False,On-Demand Instances,Reserved Instances,Dedicated Instances,Spot Instances,,,B,7,Cloud Technology and Services
3984,Who enables encryption of data at rest for Amazon Elastic Block Store (Amazon EBS)?,False,AWS Support,AWS customers,AWS Key Management Service (AWS KMS),AWS Trusted Advisor,,,B,6,Security and Compliance
3988,A company is migrating its workloads to the AWS Cloud. The company must retain full control of patch management for the guest operating systems that host its applications. Which AWS service should the company use to meet these requirements?,False,Amazon DynamoDB,Amazon EC2,AWS Lambda,Amazon RDS,,,B,6,Cloud Technology and Services
3989,At what support level do users receive access to a support concierge?,False,Basic Support,Developer Support,Business Support,Enterprise Support,,,D,6,"Billing, Pricing, and Support"
3990,Which AWS service can a company use to visually design and build serverless applications?,False,AWS Lambda,AWS Batch,AWS Application Composer,AWS App Runner,,,C,6,Cloud Technology and Services
3991,A company wants to migrate to AWS and use the same security software it uses on premises. The security software vendor offers its security software as a service on AWS. Where can the company purchase the security solution?,False,AWS Partner Solutions Finder,AWS Support Center,AWS Management Console,AWS Marketplace,,,D,6,Cloud Concepts
3992,A company has deployed an Amazon EC2 instance. Which option is an AWS responsibility under the AWS shared responsibility model?,False,Managing and encrypting application data,Installing updates and security patches of guest operating system,Configuration of infrastructure devices,Configuration of security groups on each instance,,,C,6,Security and Compliance
4013,A company acquired another corporation. The company now has two AWS accounts. Which AWS service or tool can the company use to consolidate the billing for these two accounts?,False,AWS Systems Manager,AWS Organizations,AWS License Manager,Cost Explorer,,,B,6,"Billing, Pricing, and Support"
4017,A company wants to receive alerts to monitor its overall operating costs for its AWS public cloud infrastructure. Which AWS offering will meet these requirements?,False,Amazon EventBridge,Compute Savings Plans,AWS Budgets,Migration Evaluator,,,C,6,Cloud Concepts
4032,A developer wants AWS users to access AWS services by using temporary security credentials. Which AWS service or feature should the developer use to provide these credentials?,False,IAM policies,IAM user groups,AWS Security Token Service (AWS STS),AWS IAM Identity Center (AWS Single Sign-On),,,C,6,Security and Compliance
4046,"According to the AWS shared responsibility model, the customer is responsible for applying the latest security updates and patches for which of the following?",False,Amazon DynamoDB,Amazon EC2 instances,Amazon RDS instances,Amazon S3,,,B,6,Security and Compliance
4059,Which AWS Cloud deployment model uses AWS Outposts as part of the application deployment infrastructure?,False,On-premises,Serverless,Cloud-native,Hybrid,,,D,5,Cloud Concepts
4063,Which type of AWS storage is ephemeral and is deleted when an Amazon EC2 instance is stopped or terminated?,False,Amazon Elastic Block Store (Amazon EBS),Amazon EC2 instance store,Amazon Elastic File System (Amazon EFS),Amazon S3,,,B,7,Cloud Technology and Services
4066,An ecommerce company wants to use Amazon EC2 Auto Scaling to add and remove EC2 instances based on CPU utilization. Which AWS service or feature can initiate an Amazon EC2 Auto Scaling action to achieve this goal?,False,Amazon Simple Queue Service (Amazon SQS),Amazon Simple Notification Service (Amazon SNS),AWS Systems Manager,Amazon CloudWatch alarm,,,D,7,Cloud Technology and Services
4075,A company needs to deploy applications in the AWS Cloud as quickly as possible. The company also needs to minimize the complexity that is related to the management of AWS resources. Which AWS service should the company use to meet these requirements?,False,AWS Config,AWS Elastic Beanstalk,Amazon EC2,Amazon Personalize,,,B,6,Security and Compliance
4076,Which mechanism allows developers to access AWS services from application code?,False,AWS Software Development Kit,AWS Management Console,AWS CodePipeline,AWS Config,,,A,8,Security and Compliance
4078,A company wants to establish a private network connection between AWS and its corporate network. Which AWS service or feature will meet this requirement?,False,Amazon Connect,Amazon Route 53,AWS Direct Connect,VPC peering,,,C,6,Cloud Technology and Services
4099,Which architecture concept describes the ability to deploy resources on demand and release resources when they are no longer needed?,False,High availability,Decoupled architecture,Resilience,Elasticity,,,D,6,Cloud Technology and Services
4104,Which AWS service or component allows inbound traffic from the internet to access a VPC?,False,Internet gateway,NAT gateway,AWS WAF,VPC peering,,,A,6,Security and Compliance
4120,Which Amazon S3 feature or storage class uses the AWS backbone network and edge locations to reduce latencies from the end user to Amazon S3?,False,S3 Cross-Region Replication,S3 Transfer Acceleration,S3 Event Notifications,S3 Standard-Infrequent Access (S3 Standard-IA),,,B,6,Cloud Technology and Services
4122,Which AWS service is a relational database compatible with MySQL and PostgreSQL?,False,Amazon Redshift,Amazon DynamoDB,Amazon Aurora,Amazon Neptune,,,C,6,Cloud Technology and Services
4129,A company is in the early stages of planning a migration to AWS. The company wants to obtain the monthly predicted total AWS cost of ownership for future Amazon EC2 instances and associated storage. Which AWS service or tool should the company use to meet these requirements?,False,AWS Pricing Calculator,AWS Compute Optimizer,AWS Trusted Advisor,AWS Application Migration Service,,,A,5,Security and Compliance
4172,How does the AWS Cloud help companies build agility into their processes and cloud infrastructure?,False,Companies can avoid provisioning too much capacity when they do not know how much capacity is required.,Companies can expand into new geographic regions.,Companies can access a range of technologies to experiment and innovate quickly.,Companies can pay for IT resources only when they use the resources.,,,C,5,Cloud Technology and Services
4239,Which of the following is an AWS value proposition that describes a user's ability to scale infrastructure based on demand?,False,Speed of innovation,Resource elasticity,Decoupled architecture,Global deployment,,,B,4,Cloud Technology and Services
4243,Which AWS benefit is demonstrated by on-demand technology services that enable companies to replace upfront fixed expenses with variable expenses?,False,High availability,Economies of scale,Pay-as-you-go pricing,Global reach,,,C,7,"Billing, Pricing, and Support"
4246,"A company is building an application that requires the ability to send, store, and receive messages between application components. The company has another requirement to process messages in first-in, first-out (FIFO) order. Which AWS service should the company use?",False,AWS Step Functions,Amazon Simple Notification Service (Amazon SNS),Amazon Kinesis Data Streams,Amazon Simple Queue Service (Amazon SQS),,,D,8,Cloud Technology and Services
4255,Which of the following acts as an instance-level firewall to control inbound and outbound access?,False,Network access control list,Security groups,AWS Trusted Advisor,Virtual private gateways,,,B,7,Security and Compliance
4296,What does the Amazon S3 Intelligent-Tiering storage class offer?,False,Payment flexibility by reserving storage capacity,Long-term retention of data by copying the data to an encrypted Amazon Elastic Block Store (Amazon EBS) volume,Automatic cost savings by moving objects between tiers based on access pattern changes,"Secure, durable, and lowest cost storage for data archival",,,C,7,Security and Compliance
3213,"According to security best practices, how should an Amazon EC2 instance be given access to an Amazon S3 bucket?",False,"Hard code an IAM user’s secret key and access key directly in the application, and upload the file.","Store the IAM user’s secret key and access key in a text file on the EC2 instance, read the keys, then upload the file.",Have the EC2 instance assume a role to obtain the privileges to upload the file.,Modify the S3 bucket policy so that any service can upload to it at any time.,,,C,7,Security and Compliance
3230,Which AWS service or feature allows a user to establish a dedicated network connection between a company’s on-premises data center and the AWS Cloud?,False,AWS Direct Connect,VPC peering,AWS VPN,Amazon Route 53,,,A,6,Security and Compliance
3244,"A startup runs its proprietary application on docker containers. As a Cloud Practitioner, which AWS service would you recommend so that the startup can run containers and still have access to the underlying servers?",False,Amazon Elastic Container Service (Amazon ECS),AWS Lambda,AWS Fargate,Amazon Elastic Container Registry (ECR),,,A,3,Cloud Technology and Services
3308,Which AWS service protects your AWS account by monitoring malicious activity and detecting threats?,False,CloudTrail,CloudWatch,GuardDuty,Trusted Advisor,,,C,3,Security and Compliance
3598,A company plans to use an Amazon Snowball Edge device to transfer files to the AWS Cloud. Which activities related to a Snowball Edge device are available to the company at no cost?,False,Use of the Snowball Edge appliance for a 10-day period,The transfer of data out of Amazon S3 and to the Snowball Edge appliance,The transfer of data from the Snowball Edge appliance into Amazon S3,Daily use of the Snowball Edge appliance after 10 days,,,C,7,Cloud Technology and Services
3599,A company has deployed applications on Amazon EC2 instances. The company needs to assess application vulnerabilities and must identify infrastructure deployments that do not meet best practices. Which AWS service can the company use to meet these requirements?,False,AWS Trusted Advisor,Amazon Inspector,AWS Config,Amazon GuardDuty,,,B,7,Security and Compliance
3605,A company wants to manage deployed IT services and govern its infrastructure as code (IaC) templates. Which AWS service will meet this requirement?,False,AWS Resource Explorer,AWS Service Catalog,AWS Organizations,AWS Systems Manager,,,B,6,Cloud Technology and Services
3607,A global company wants to migrate its third-party applications to the AWS Cloud. The company wants help from a global team of experts to complete the migration faster and more reliably in accordance with AWS internal best practices. Which AWS service or resource will meet these requirements?,False,AWS Support,AWS Professional Services,AWS Launch Wizard,AWS Managed Services (AMS),,,B,6,Cloud Technology and Services
3608,An e-learning platform needs to run an application for 2 months each year. The application will be deployed on Amazon EC2 instances. Any application downtime during those 2 months must be avoided. Which EC2 purchasing option will meet these requirements MOST cost-effectively?,False,Reserved Instances,Dedicated Hosts,Spot Instances,On-Demand Instances,,,D,6,Cloud Technology and Services
3609,A developer wants to deploy an application quickly on AWS without manually creating the required resources. Which AWS service will meet these requirements?,False,Amazon EC2,AWS Elastic Beanstalk,AWS CodeBuild,Amazon Personalize,,,B,6,Cloud Technology and Services
3611,"An online gaming company needs to choose a purchasing option to run its Amazon EC2 instances for 1 year. The web traffic is consistent, and any increases in traffic are predictable. The EC2 instances must be online and available without any disruption. Which EC2 instance purchasing option will meet these requirements MOST cost-effectively?",False,On-Demand Instances,Reserved Instances,Spot Instances,Spot Fleet,,,B,6,Cloud Technology and Services
3614,A company has an AWS account. The company wants to audit its password and access key rotation details for compliance purposes. Which AWS service or tool will meet this requirement?,False,IAM Access Analyzer,AWS Artifact,IAM credential report,AWS Audit Manager,,,C,6,Security and Compliance
3618,A user needs programmatic access to AWS resources through the AWS CLI or the AWS API. Which option will provide the user with the appropriate access?,False,Amazon Inspector,Access keys,SSH public keys,AWS Key Management Service (AWS KMS) keys,,,B,6,Security and Compliance
3621,A company needs to block SQL injection attacks. Which AWS service or feature can meet this requirement?,False,AWS WAF,AWS Shield,Network ACLs,Security groups,,,A,6,Security and Compliance
3623,A cloud practitioner needs to obtain AWS compliance reports before migrating an environment to the AWS Cloud. How can these reports be generated?,False,Contact the AWS Compliance team.,Download the reports from AWS Artifact.,Open a case with AWS Support.,Generate the reports with Amazon Macie.,,,B,6,Security and Compliance
3626,Elasticity in the AWS Cloud refers to which of the following? (Choose two.),True,How quickly an Amazon EC2 instance can be restarted,The ability to rightsize resources as demand shifts,The maximum amount of RAM an Amazon EC2 instance can use,The pay-as-you-go billing model,How easily resources can be procured when they are needed,,"B,E",6,"Billing, Pricing, and Support"
3627,Which service enables customers to audit API calls in their AWS accounts?,False,AWS CloudTrail,AWS Trusted Advisor,Amazon Inspector,AWS X-Ray,,,A,6,Security and Compliance
3633,A company wants to migrate its on-premises relational databases to the AWS Cloud. The company wants to use infrastructure as close to its current geographical location as possible. Which AWS service or resource should the company use to select its Amazon RDS deployment area?,False,Amazon Connect,AWS Wavelength,AWS Regions,AWS Direct Connect,,,C,6,Cloud Technology and Services
3634,"A company is exploring the use of the AWS Cloud, and needs to create a cost estimate for a project before the infrastructure is provisioned. Which AWS service or feature can be used to estimate costs before deployment?",False,AWS Free Tier,AWS Pricing Calculator,AWS Billing and Cost Management,AWS Cost and Usage Report,,,B,6,"Billing, Pricing, and Support"
